epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,513.774,1.28426,1.31139,1.33358,0.65366,0.74353,0.79809,0.33618,2.5486,2.09522,1.17678,0.000416296,0.000416296,0.000416296
2,1027.25,1.15692,1.02236,1.25554,0.81048,0.86855,0.87565,0.45294,1.37101,0.96038,1.19962,0.000824716,0.000824716,0.000824716
3,1541.11,1.11354,0.95947,1.232,0.94418,0.80299,0.91082,0.54449,1.2913,0.79639,1.18702,0.00122489,0.00122489,0.00122489
4,2055.45,1.05411,0.8767,1.19789,0.88763,0.90521,0.9205,0.52088,1.35133,0.79752,1.14219,0.00121287,0.00121287,0.00121287
5,2570.49,1.00139,0.79981,1.1637,0.95367,0.93206,0.97082,0.56961,1.35682,0.72771,1.15452,0.0012005,0.0012005,0.0012005
6,3086.1,0.97128,0.77029,1.14897,0.90853,0.92848,0.93899,0.57471,1.22611,0.67453,1.07164,0.00118812,0.00118812,0.00118812
7,3602.45,0.93139,0.73397,1.13072,0.95162,0.91455,0.96205,0.59503,1.17625,0.65492,1.08571,0.00117575,0.00117575,0.00117575
8,4119.32,0.90858,0.69651,1.11639,0.92561,0.91413,0.96083,0.59272,1.23634,0.68601,1.06937,0.00116337,0.00116337,0.00116337
9,4636.82,0.89334,0.67616,1.10489,0.94741,0.94381,0.96997,0.63648,1.13588,0.6601,1.06989,0.001151,0.001151,0.001151
10,5154.65,0.87361,0.66183,1.10005,0.95961,0.9343,0.96882,0.59267,1.29508,0.64026,1.07509,0.00113863,0.00113863,0.00113863
11,5672.33,0.85179,0.63891,1.08828,0.94665,0.9485,0.96714,0.60436,1.1567,0.73784,1.09901,0.00112625,0.00112625,0.00112625
12,6189.17,0.85131,0.63153,1.08829,0.97048,0.93871,0.97277,0.63167,1.08137,0.57588,1.04036,0.00111388,0.00111388,0.00111388
13,6705.36,0.83747,0.6211,1.07901,0.95589,0.92731,0.97688,0.63769,1.05121,0.55333,1.03278,0.0011015,0.0011015,0.0011015
14,7221.66,0.81213,0.59607,1.07098,0.91904,0.94984,0.96582,0.58882,1.22068,0.64769,1.14847,0.00108913,0.00108913,0.00108913
