epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4633.03,1.08017,1.08009,1.18718,0.81392,0.91849,0.93572,0.51662,1.45299,1.06465,1.18618,0.00333095,0.00333095,0.00333095
2,9454.71,0.98412,0.75051,1.11943,0.93472,0.84527,0.90413,0.52804,1.23111,0.83887,1.08159,0.0066313,0.0066313,0.0066313
3,13651.1,1.04402,0.80816,1.1555,0.88034,0.90379,0.92013,0.52756,1.44479,0.87191,1.21809,0.00989864,0.00989864,0.00989864
4,18149.7,1.04775,0.81739,1.16031,0.90082,0.82647,0.92489,0.5124,1.44056,0.90334,1.16822,0.0098515,0.0098515,0.0098515
5,22569.2,0.99549,0.75848,1.14149,0.92083,0.95161,0.96822,0.54514,1.32704,0.74295,1.11072,0.009802,0.009802,0.009802
6,27197.1,0.9569,0.71144,1.12783,0.8476,0.93922,0.96041,0.59028,1.12098,0.73736,1.10437,0.0097525,0.0097525,0.0097525
7,31011.4,0.92183,0.67366,1.11149,0.94082,0.94348,0.97012,0.59826,1.21998,0.67422,1.10582,0.009703,0.009703,0.009703
8,36015.2,0.89332,0.64717,1.09635,0.9458,0.95012,0.97408,0.57201,1.19409,0.71176,1.11583,0.0096535,0.0096535,0.0096535
9,40671.3,0.86855,0.6242,1.08364,0.9376,0.91931,0.96375,0.61139,1.20978,0.72318,1.07765,0.009604,0.009604,0.009604
10,45405.9,0.85498,0.60726,1.07879,0.94589,0.9301,0.97087,0.62188,1.16142,0.60968,1.08655,0.0095545,0.0095545,0.0095545
11,49685,0.83891,0.59825,1.06966,0.96549,0.94956,0.96991,0.60867,1.30297,0.60667,1.07811,0.009505,0.009505,0.009505
12,54264.7,0.82309,0.58099,1.0654,0.911,0.95074,0.96776,0.64207,1.1219,0.68306,1.05852,0.0094555,0.0094555,0.0094555
13,58719.5,0.81692,0.56944,1.06081,0.96422,0.95006,0.97391,0.64376,1.05734,0.59538,1.03776,0.009406,0.009406,0.009406
14,63191.7,0.79967,0.55193,1.05352,0.9665,0.95221,0.97746,0.615,1.10423,0.58821,1.05221,0.0093565,0.0093565,0.0093565
15,67554.9,0.79166,0.55026,1.04998,0.96531,0.95805,0.97419,0.62475,1.12935,0.57577,1.02513,0.009307,0.009307,0.009307
16,72099.9,0.78141,0.53843,1.04887,0.96893,0.9582,0.97076,0.63636,1.05764,0.59168,1.02609,0.0092575,0.0092575,0.0092575
17,76347.4,0.77304,0.5296,1.04121,0.96385,0.95228,0.97312,0.61945,1.17165,0.61283,1.05375,0.009208,0.009208,0.009208
18,80760.8,0.76285,0.52189,1.03862,0.94969,0.95901,0.97616,0.64012,1.03143,0.54568,1.02996,0.0091585,0.0091585,0.0091585
19,84980.5,0.75481,0.51718,1.03727,0.95183,0.95786,0.96673,0.6314,1.28518,0.62845,1.04269,0.009109,0.009109,0.009109
20,89165.7,0.73992,0.50867,1.02916,0.96268,0.95604,0.97794,0.66051,1.01458,0.50367,1.01072,0.0090595,0.0090595,0.0090595
21,93442.3,0.73834,0.49848,1.02461,0.96668,0.94406,0.97774,0.65741,1.00218,0.55589,1.05709,0.00901,0.00901,0.00901
22,98024.2,0.73918,0.501,1.02841,0.95449,0.94307,0.9744,0.62655,1.01004,0.5604,1.01081,0.0089605,0.0089605,0.0089605
23,102487,0.73263,0.49583,1.01953,0.968,0.965,0.97927,0.65381,1.01268,0.51138,1.00971,0.008911,0.008911,0.008911
24,106622,0.72643,0.49051,1.02308,0.97878,0.96159,0.97639,0.65912,0.99126,0.54975,1.00732,0.0088615,0.0088615,0.0088615
25,111021,0.72601,0.48607,1.01893,0.96182,0.96496,0.97836,0.65865,1.01454,0.49732,1.06136,0.008812,0.008812,0.008812
26,115607,0.71788,0.47975,1.01787,0.95054,0.95767,0.97829,0.65184,1.03727,0.55613,0.99982,0.0087625,0.0087625,0.0087625
27,119993,0.71674,0.47593,1.02001,0.96674,0.96009,0.97636,0.6405,1.02079,0.53403,1.02328,0.008713,0.008713,0.008713
28,124323,0.70834,0.46822,1.01115,0.97224,0.95866,0.97762,0.65752,0.98631,0.48837,1.01574,0.0086635,0.0086635,0.0086635
29,128588,0.70433,0.47222,1.01386,0.9714,0.96088,0.97592,0.64487,1.0156,0.53396,1.0016,0.008614,0.008614,0.008614
30,133186,0.70108,0.46233,1.01045,0.96007,0.95812,0.97828,0.67917,0.92785,0.54507,0.99231,0.0085645,0.0085645,0.0085645
31,137869,0.69843,0.46151,1.01088,0.97523,0.95676,0.97921,0.66951,0.94529,0.52271,0.99988,0.008515,0.008515,0.008515
32,142607,0.69936,0.46067,1.01472,0.96982,0.96209,0.97881,0.66528,0.97203,0.51701,1.01479,0.0084655,0.0084655,0.0084655
33,147099,0.68695,0.45089,1.0029,0.968,0.96468,0.97619,0.66418,0.98841,0.49911,1.00038,0.008416,0.008416,0.008416
34,151543,0.68745,0.45375,1.00616,0.97525,0.95661,0.97514,0.67461,0.92787,0.47727,0.99349,0.0083665,0.0083665,0.0083665
35,157027,0.68344,0.44842,1.00249,0.97748,0.95537,0.9789,0.67709,0.96779,0.46935,0.99609,0.008317,0.008317,0.008317
36,161921,0.68238,0.4488,1.00231,0.96967,0.96104,0.97839,0.66678,0.97096,0.49561,0.98172,0.0082675,0.0082675,0.0082675
37,166649,0.67966,0.44622,1,0.98182,0.94955,0.97227,0.68142,0.90456,0.47973,0.97769,0.008218,0.008218,0.008218
38,171463,0.67444,0.4409,0.99817,0.97537,0.94764,0.97653,0.65437,0.98914,0.50082,0.9722,0.0081685,0.0081685,0.0081685
39,175909,0.67195,0.43904,0.99833,0.96063,0.95499,0.97791,0.67146,0.91471,0.47891,0.99121,0.008119,0.008119,0.008119
40,180745,0.67222,0.43523,0.99936,0.96737,0.95861,0.97992,0.67303,0.95381,0.52186,0.98826,0.0080695,0.0080695,0.0080695
41,184995,0.6661,0.43484,0.99651,0.97818,0.95837,0.97868,0.65841,0.94984,0.47364,0.98343,0.00802,0.00802,0.00802
42,189333,0.66265,0.43101,0.98861,0.97264,0.96263,0.97642,0.66544,0.9718,0.48683,0.97577,0.0079705,0.0079705,0.0079705
43,194410,0.65758,0.42946,0.99076,0.96198,0.96982,0.9789,0.6651,1.01061,0.45724,0.98504,0.007921,0.007921,0.007921
44,198777,0.65799,0.428,0.98936,0.97999,0.95738,0.98074,0.68356,0.92759,0.46919,0.98231,0.0078715,0.0078715,0.0078715
45,203646,0.65736,0.42326,0.98982,0.97362,0.96308,0.98057,0.67313,0.9367,0.49022,0.98678,0.007822,0.007822,0.007822
46,207970,0.65385,0.42506,0.9893,0.96643,0.94095,0.9805,0.67409,0.98131,0.4637,0.98178,0.0077725,0.0077725,0.0077725
47,212258,0.65036,0.42403,0.99391,0.95965,0.96659,0.97781,0.68089,0.92529,0.46808,0.98109,0.007723,0.007723,0.007723
48,217044,0.65127,0.42277,0.98791,0.96452,0.9483,0.979,0.67038,0.96567,0.49368,0.98145,0.0076735,0.0076735,0.0076735
