epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76307,3.37086,5.14985,2.95277,0.09269,0.20428,0.10819,0.04489,2.91614,3.77163,1.99462,6.25e-05,6.25e-05,6.25e-05
2,5.85591,3.32786,4.82139,2.75703,0.73105,0.13404,0.14589,0.06409,2.66857,3.09252,1.74845,0.000136139,0.000136139,0.000136139
3,7.98123,2.98575,3.80784,2.19935,0.78004,0.14813,0.24862,0.11615,2.31109,2.30453,1.45912,0.000208293,0.000208293,0.000208293
4,10.0098,3.03684,3.34496,2.22787,0.78784,0.15294,0.27453,0.11447,2.17683,1.90468,1.46129,0.000278961,0.000278961,0.000278961
5,12.017,2.68344,2.47336,1.94054,0.50469,0.2724,0.29142,0.10853,2.13598,1.60664,1.29474,0.000348145,0.000348145,0.000348145
6,14.0206,2.58523,2.20675,1.89339,0.50826,0.46331,0.45127,0.13099,2.11237,1.5496,1.21777,0.000415844,0.000415844,0.000415844
7,16.1536,2.4675,1.7608,1.62483,0.64204,0.48444,0.52334,0.19525,1.95469,1.52556,1.13089,0.000482057,0.000482057,0.000482057
8,18.1812,2.51415,1.74655,1.67358,0.64204,0.48444,0.52334,0.19525,1.95469,1.52556,1.13089,0.000546786,0.000546786,0.000546786
9,20.2127,2.31656,1.63934,1.48307,0.46112,0.48,0.38465,0.19319,1.91132,1.59656,1.15568,0.00061003,0.00061003,0.00061003
10,22.2307,2.08592,1.48972,1.39499,0.60751,0.48383,0.46386,0.18766,1.96811,1.62355,1.15036,0.000671789,0.000671789,0.000671789
11,24.3039,2.17615,1.47116,1.31807,0.60751,0.48383,0.46386,0.18766,1.96811,1.62355,1.15036,0.000732063,0.000732063,0.000732063
12,26.4146,1.96833,1.43601,1.29408,0.6526,0.51984,0.54607,0.20428,1.98878,1.51657,1.13708,0.000790851,0.000790851,0.000790851
13,28.4371,1.92073,1.37046,1.35668,0.6526,0.51984,0.54607,0.20428,1.98878,1.51657,1.13708,0.000848155,0.000848155,0.000848155
14,30.4737,1.98551,1.32187,1.2933,0.6526,0.51984,0.54607,0.20428,1.98878,1.51657,1.13708,0.000903974,0.000903974,0.000903974
15,32.4975,1.76071,1.20937,1.18645,0.85783,0.55179,0.6063,0.2641,1.83982,1.366,1.07054,0.000958307,0.000958307,0.000958307
16,34.5999,1.72478,1.20257,1.20815,0.85783,0.55179,0.6063,0.2641,1.83982,1.366,1.07054,0.00101116,0.00101116,0.00101116
17,36.6374,1.70803,1.19057,1.2156,0.84167,0.57588,0.63384,0.35193,1.64697,1.15901,1.05082,0.001052,0.001052,0.001052
18,38.688,1.55552,1.09047,1.148,0.84167,0.57588,0.63384,0.35193,1.64697,1.15901,1.05082,0.00103962,0.00103962,0.00103962
19,40.7265,1.66724,1.15093,1.22067,0.84167,0.57588,0.63384,0.35193,1.64697,1.15901,1.05082,0.00102725,0.00102725,0.00102725
20,42.7628,1.5818,1.07557,1.16689,0.84568,0.58407,0.65302,0.38225,1.50034,1.01668,1.03881,0.00101488,0.00101488,0.00101488
21,44.8738,1.53873,0.99061,1.19351,0.84568,0.58407,0.65302,0.38225,1.50034,1.01668,1.03881,0.0010025,0.0010025,0.0010025
22,47.0575,1.53606,1.00348,1.15726,0.84568,0.58407,0.65302,0.38225,1.50034,1.01668,1.03881,0.000990125,0.000990125,0.000990125
23,49.1897,1.51382,0.96754,1.1406,0.8979,0.60541,0.6614,0.40833,1.42204,0.94607,1.03068,0.00097775,0.00097775,0.00097775
24,51.2526,1.50788,0.96964,1.14832,0.8979,0.60541,0.6614,0.40833,1.42204,0.94607,1.03068,0.000965375,0.000965375,0.000965375
25,53.397,1.34391,0.8872,1.06493,0.90713,0.62667,0.66925,0.42279,1.37737,0.85438,1.0234,0.000953,0.000953,0.000953
26,55.418,1.42483,0.89057,1.0936,0.90713,0.62667,0.66925,0.42279,1.37737,0.85438,1.0234,0.000940625,0.000940625,0.000940625
27,57.4716,1.52732,0.89289,1.11428,0.90713,0.62667,0.66925,0.42279,1.37737,0.85438,1.0234,0.00092825,0.00092825,0.00092825
28,59.5003,1.46905,0.87796,1.10956,0.91074,0.64434,0.7005,0.43232,1.36502,0.80085,0.99647,0.000915875,0.000915875,0.000915875
29,61.5368,1.45247,0.84088,1.0778,0.91074,0.64434,0.7005,0.43232,1.36502,0.80085,0.99647,0.0009035,0.0009035,0.0009035
30,63.6422,1.45004,0.84838,1.1001,0.91074,0.64434,0.7005,0.43232,1.36502,0.80085,0.99647,0.000891125,0.000891125,0.000891125
31,65.7057,1.47686,0.87122,1.13221,0.84417,0.63903,0.69721,0.42299,1.35682,0.77451,1.00639,0.00087875,0.00087875,0.00087875
32,67.7372,1.44704,0.84411,1.10534,0.84417,0.63903,0.69721,0.42299,1.35682,0.77451,1.00639,0.000866375,0.000866375,0.000866375
33,69.7808,1.43798,0.86259,1.13523,0.84378,0.63084,0.70296,0.42792,1.31666,0.75727,1.00965,0.000854,0.000854,0.000854
34,71.9024,1.31095,0.76978,1.04359,0.84378,0.63084,0.70296,0.42792,1.31666,0.75727,1.00965,0.000841625,0.000841625,0.000841625
35,73.911,1.37806,0.81637,1.04087,0.84378,0.63084,0.70296,0.42792,1.31666,0.75727,1.00965,0.00082925,0.00082925,0.00082925
36,75.9585,1.33602,0.79194,1.09744,0.81903,0.6406,0.72754,0.46068,1.26561,0.74605,1.00413,0.000816875,0.000816875,0.000816875
37,77.9841,1.28982,0.76018,1.0557,0.81903,0.6406,0.72754,0.46068,1.26561,0.74605,1.00413,0.0008045,0.0008045,0.0008045
38,80.0775,1.36449,0.81377,1.06242,0.81903,0.6406,0.72754,0.46068,1.26561,0.74605,1.00413,0.000792125,0.000792125,0.000792125
