epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.137,1.26345,1.34957,1.34631,0.51344,0.61811,0.52479,0.2781,1.6776,1.59925,1.52066,0.000415789,0.000415789,0.000415789
2,312.486,1.14536,1.01565,1.25764,0.74712,0.74277,0.74296,0.43348,1.21928,1.55937,1.21806,0.000826962,0.000826962,0.000826962
3,466.169,1.08848,0.93313,1.22434,0.80272,0.78573,0.80765,0.5243,1.14272,0.89965,1.16926,0.00123263,0.00123263,0.00123263
4,619.608,1.0361,0.86937,1.19184,0.87588,0.79539,0.86557,0.54803,1.09894,0.77139,1.13003,0.00122525,0.00122525,0.00122525
5,770.701,0.99999,0.81258,1.1751,0.89712,0.82294,0.88795,0.60186,0.99999,0.71344,1.05737,0.001217,0.001217,0.001217
6,923.692,0.95832,0.75652,1.15092,0.91422,0.83553,0.89902,0.62528,1.02275,0.72176,1.06916,0.00120875,0.00120875,0.00120875
7,1077.02,0.91948,0.72639,1.12784,0.89343,0.8674,0.90583,0.62682,0.96613,0.64765,1.05855,0.0012005,0.0012005,0.0012005
8,1230.37,0.89519,0.69397,1.12042,0.90814,0.85821,0.90532,0.62754,0.95933,0.62771,1.03874,0.00119225,0.00119225,0.00119225
9,1383.5,0.89207,0.67939,1.11723,0.89421,0.85971,0.8978,0.63357,0.97123,0.61338,1.04419,0.001184,0.001184,0.001184
10,1536.67,0.86858,0.66557,1.11156,0.90228,0.87838,0.91471,0.64166,0.97,0.61293,1.03812,0.00117575,0.00117575,0.00117575
11,1689.98,0.84291,0.63741,1.09351,0.93259,0.87628,0.92258,0.67056,0.9063,0.56269,1.01322,0.0011675,0.0011675,0.0011675
12,1843.18,0.83266,0.62712,1.08358,0.92058,0.87221,0.92046,0.66748,0.91547,0.58227,1.05029,0.00115925,0.00115925,0.00115925
13,1994.8,0.83489,0.62353,1.08615,0.92821,0.87949,0.92304,0.67827,0.89822,0.5597,1.01207,0.001151,0.001151,0.001151
14,2145.93,0.80936,0.5987,1.0716,0.92023,0.88442,0.92224,0.67684,0.87246,0.58064,1.00747,0.00114275,0.00114275,0.00114275
15,2296.85,0.80468,0.59282,1.07062,0.91378,0.88342,0.92531,0.66467,0.93304,0.56759,1.01397,0.0011345,0.0011345,0.0011345
16,2449.32,0.79763,0.5841,1.06966,0.93193,0.87602,0.92746,0.68383,0.88081,0.5487,1.01744,0.00112625,0.00112625,0.00112625
17,2602.62,0.79711,0.58913,1.06699,0.93178,0.88527,0.92988,0.69154,0.87385,0.54329,0.99165,0.001118,0.001118,0.001118
18,2755.6,0.77511,0.57848,1.05961,0.92944,0.88884,0.93353,0.6991,0.85816,0.53632,0.97846,0.00110975,0.00110975,0.00110975
